FIPS,State,County,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
37019,North Carolina,Brunswick County,7238,7548,10140,11672,3554,5144,45297,11148,56445
37021,North Carolina,Buncombe County,7238,7548,15060,11672,3554,5144,50217,12359,62576
37023,North Carolina,Burke County,7238,7548,8544,11672,3554,5144,43701,10755,54456
37025,North Carolina,Cabarrus County,7238,7548,12756,11672,3554,5144,47913,11792,59705
37027,North Carolina,Caldwell County,7238,7548,8544,11672,3554,5144,43701,10755,54456
37033,North Carolina,Caldwell County,7238,7548,8544,11672,3554,5144,43701,10755,54456
37027,North Carolina,Caswell County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37033,North Carolina,Caswell County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37029,North Carolina,Camden County,7238,7548,12876,11672,3554,5144,48033,11821,59854
37031,North Carolina,Carteret County,7238,7548,9924,11672,3554,5144,45081,11095,56176
37035,North Carolina,Catawba County,7238,7548,8544,11672,3554,5144,43701,10755,54456
37037,North Carolina,Chatham County,7238,7548,13056,11672,3554,5144,48213,11865,60078
37039,North Carolina,Cherokee County,7238,7548,8160,11672,3554,5144,43317,10661,53978
37041,North Carolina,Chowan County,7238,7548,9432,11672,3554,5144,44589,10974,55563
37159,North Carolina,Chowan County,7238,7548,9432,11672,3554,5144,44589,10974,55563
37043,North Carolina,Clay County,7238,7548,9048,11672,3554,5144,44205,10879,55084
37045,North Carolina,Cleveland County,7238,7548,8076,11672,3554,5144,43233,10640,53873
37047,North Carolina,Columbus County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37049,North Carolina,Craven County,7238,7548,11148,11672,3554,5144,46305,11396,57701
37051,North Carolina,Cumberland County,7238,7548,10248,11672,3554,5144,45405,11174,56579
37053,North Carolina,Currituck County,7238,7548,13632,11672,3554,5144,48789,12007,60796
37055,North Carolina,Dare County,7238,7548,11244,11672,3554,5144,46401,11420,57820
37057,North Carolina,Davidson County,7238,7548,8340,11672,3554,5144,43497,10705,54202
37059,North Carolina,Davie County,7238,7548,9156,11672,3554,5144,44313,10906,55219
37061,North Carolina,Duplin County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37063,North Carolina,Durham County,7238,7548,13056,11672,3554,5144,48213,11865,60078
37065,North Carolina,Edgecombe County,7238,7548,9036,11672,3554,5144,44193,10876,55069
37067,North Carolina,Forsyth County,7238,7548,9156,11672,3554,5144,44313,10906,55219
37069,North Carolina,Franklin County,7238,7548,13956,11672,3554,5144,49113,12087,61200
37071,North Carolina,Gaston County,7238,7548,12756,11672,3554,5144,47913,11792,59705
37073,North Carolina,Gates County,7238,7548,8364,11672,3554,5144,43521,10711,54232
37075,North Carolina,Graham County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37077,North Carolina,Granville County,7238,7548,9816,11672,3554,5144,44973,11068,56041
37077,North Carolina,"Greenville, NC",7238,7548,9300,11672,3554,5144,44457,10941,55398
37079,North Carolina,Greene County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37081,North Carolina,Guilford County,7238,7548,10056,11672,3554,5144,45213,11127,56340
37083,North Carolina,Halifax County,7238,7548,8640,11672,3554,5144,43797,10779,54576
37085,North Carolina,Harnett County,7238,7548,9420,11672,3554,5144,44577,10971,55548
37087,North Carolina,Haywood County,7238,7548,11016,11672,3554,5144,46173,11363,57536
37089,North Carolina,Henderson County,7238,7548,15060,11672,3554,5144,50217,12359,62576
37091,North Carolina,Hertford County,7238,7548,8940,11672,3554,5144,44097,10853,54949
37093,North Carolina,Hoke County,7238,7548,8652,11672,3554,5144,43809,10782,54591
37095,North Carolina,Hyde County,7238,7548,9816,11672,3554,5144,44973,11068,56041
37097,North Carolina,Iredell County,7238,7548,10512,11672,3554,5144,45669,11239,56908
37099,North Carolina,Jackson County,7238,7548,8316,11672,3554,5144,43473,10699,54172
37101,North Carolina,Johnston County,7238,7548,13956,11672,3554,5144,49113,12087,61200
37103,North Carolina,Jones County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37105,North Carolina,Lee County,7238,7548,8784,11672,3554,5144,43941,10814,54755
